hkanji	jis
侯	3874
貢	3957
控	3935
慌	3932
硬	3945
絞	394A
項	3960
溝	3942
綱	394B
酵	395A
稿	3946
衡	3955
購	3958
拷	3969
剛	3964
豪	396B
克	396E
酷	3973
獄	3976
込	397E
昆	3A2B
恨	3A28
婚	3A27
紺	3A30
魂	3A32
墾	3A26
懇	3A29
佐	3A34
唆	3A36
詐	3A3E
鎖	3A3F
砕	3A55
宰	3A4B
栽	3A4F
彩	3A4C
斎	3A58
債	3A44
催	3A45
歳	3A50
載	3A5C
剤	3A5E
崎	3A6A
削	3A6F
索	3A77
酢	3F5D
搾	3A71
錯	3A78
咲	3A69
札	3B25
撮	3B23
擦	3B24
皿	3B2E
桟	3B37
惨	3B34
傘	3B31
暫	3B43
旨	3B5D
伺	3B47
刺	3B49
枝	3B5E
祉	3B63
肢	3B68
施	3B5C
脂	3B69
紫	3B67
嗣	3B4C
飼	3B74
雌	3B73
賜	3B72
諮	3B70
侍	3B78
滋	3C22
慈	3B7C
璽	3C25
軸	3C34
疾	3C40
執	3C39
湿	3C3E
漆	3C3F
芝	3C47
赦	3C4F
斜	3C50
煮	3C51
遮	3C57
邪	3C59
蛇	3C58
勺	3C5B
酌	3C60
爵	3C5F
寂	3C64
朱	3C6B
狩	3C6D
殊	3C6C
珠	3C6E
趣	3C71
寿	3C77
儒	3C74
囚	3C7C
舟	3D2E
秀	3D28
臭	3D2D
愁	3D25
酬	3D37
醜	3D39
襲	3D31
汁	3D41
充	3D3C
柔	3D40
渋	3D42
銃	3D46
獣	3D43
叔	3D47
淑	3D4A
粛	3D4D
塾	3D4E
俊	3D53
瞬	3D56
旬	3D5C
巡	3D64
盾	3D62
准	3D5A
殉	3D5E
循	3D5B
潤	3D61
遵	3D65
庶	3D6E
緒	3D6F
如	4721
叙	3D76
徐	3D79
升	3E23
召	3E24
匠	3E22
床	3E32
抄	3E36
肖	3E53
尚	3E30
昇	3E3A
松	3E3E
沼	3E42
宵	3E2C
症	3E49
祥	3E4D
渉	3E44
紹	3E52
訟	3E59
掌	3E38
晶	3E3D
焦	3E47
硝	3E4B
粧	3E51
詔	3E5B
奨	3E29
詳	3E5C
彰	3E34
衝	3E57
償	3D7E
礁	3E4C
鐘	3E62
丈	3E66
冗	3E69
浄	3E74
剰	3E6A
畳	3E76
縄	466C
壌	3E6D
嬢	3E6E
錠	3E7B
譲	3E79
醸	3E7A
殖	3F23
飾	3E7E
触	3F28
嘱	3E7C
辱	3F2B
伸	3F2D
辛	3F49
侵	3F2F
津	4445
唇	3F30
娠	3F31
振	3F36
浸	3F3B
紳	3F42
診	3F47
寝	3F32
慎	3F35
審	3F33
震	3F4C
薪	3F45
刃	3F4F
尽	3F54
迅	3F57
甚	3F53
陣	3F58
尋	3F52
吹	3F61
炊	3F66
帥	3F63
粋	3F68
衰	3F6A
酔	3F6C
遂	3F6B
睡	3F67
穂	4A66
錘	3F6E
随	3F6F
髄	3F71
枢	3F75
崇	3F72
据	3F78
杉	3F79
畝	4026
瀬	4025
井	3066
姓	402B
征	402C
斉	4046
牲	4037
逝	4042
盛	4039
婿	4C3B
誓	4040
請	4041
斥	404D
昔	404E
析	404F
隻	4049
惜	404B
跡	4057
籍	4052
拙	405B
窃	4060
摂	405D
仙	4067
占	406A
扇	4070
栓	4072
旋	407B
践	4129
銑	412D
潜	4078
遷	412B
薦	4126
繊	4121
鮮	412F
禅	4135
漸	4132
繕	4136
阻	414B
租	4145
措	413C
粗	4146
疎	4142
訴	414A
塑	413A
礎	4143
双	4150
壮	4154
荘	4171
捜	415C
挿	415E
桑	372C
掃	415D
曹	4162
巣	4163
喪	4153
葬	4172
装	4175
僧	414E
遭	4178
槽	4165
燥	4167
霜	417A
騒	417B
藻	4174
憎	417E
贈	4223
即	4228
束	422B
